ein1,ein2,weight
11-2741490,13-1945157,1
13-0659550,52-0991278,1
13-1084330,52-0991278,1
13-1084330,52-1799853,1
13-1945157,11-2741490,1
13-3554791,95-3298239,1
13-6006960,23-7432162,1
13-6006960,38-2926822,1
13-6006960,52-1351785,1
13-6006960,54-1934032,1
13-6006960,75-3148958,1
13-6006960,81-0393444,1
13-6217788,23-7002632,1
13-6217788,36-7244615,1
13-6217788,52-2166327,1
20-1658710,23-2732477,1
20-1658710,23-7432162,1
20-1982204,54-1429009,1
20-4707442,73-0667344,1
23-2732477,20-1658710,1
23-2732477,23-7432162,1
23-7002632,13-6217788,1
23-7002632,36-7244615,1
23-7002632,52-2166327,1
23-7042029,52-1226614,2
23-7042029,54-1672138,1
23-7093598,47-4610810,1
23-7432162,13-6006960,1
23-7432162,20-1658710,1
23-7432162,23-2732477,1
23-7432162,52-1527294,1
23-7432162,95-3298239,2
25-1113452,25-1704173,1
25-1113452,25-6012303,1
25-1113452,41-1275875,1
25-1704173,25-1113452,1
25-6012303,25-1113452,1
25-6012303,41-1275875,1
26-2588270,52-1071570,2
26-2731617,76-0149778,3
27-2244700,94-2528433,1
35-1320021,35-6056960,7
35-6056960,35-1320021,7
36-3756240,52-1400492,1
36-7244615,13-6217788,1
36-7244615,23-7002632,1
36-7244615,52-2166327,2
36-7244615,54-1934032,2
36-7244615,81-0393444,1
38-2926822,13-6006960,1
38-2926822,43-1244445,1
38-2926822,44-6015127,1
38-2926822,54-1934032,1
41-1275875,25-1113452,1
41-1275875,25-6012303,1
41-1275875,54-1934032,1
43-1244445,38-2926822,1
43-1244445,44-6015127,2
44-6015127,38-2926822,1
44-6015127,43-1244445,2
44-6015127,52-1527294,1
47-4610810,23-7093598,1
48-0918408,54-1436224,2
52-0991278,13-0659550,1
52-0991278,13-1084330,1
52-1009116,52-1122683,4
52-1071570,26-2588270,2
52-1122683,52-1009116,4
52-1226614,23-7042029,2
52-1349353,52-1526916,4
52-1351785,13-6006960,1
52-1351785,81-0393444,1
52-1351785,95-3298239,1
52-1400492,36-3756240,1
52-1400492,52-1403587,3
52-1403587,52-1400492,3
52-1526916,52-1349353,4
52-1527294,23-7432162,1
52-1527294,44-6015127,1
52-1527294,75-3148958,5
52-1527294,95-3298239,1
52-1799853,13-1084330,1
52-1799853,52-1916480,1
52-1799853,55-0307050,1
52-1916480,52-1799853,1
52-2166327,13-6217788,1
52-2166327,23-7002632,1
52-2166327,36-7244615,2
52-2166327,54-1934032,2
52-2166327,57-0952531,1
52-2166327,81-0393444,1
52-2166327,94-6080099,1
54-1429009,20-1982204,1
54-1429009,94-2763845,1
54-1436224,48-0918408,2
54-1672138,23-7042029,1
54-1672138,57-0952531,1
54-1934032,13-6006960,1
54-1934032,36-7244615,2
54-1934032,38-2926822,1
54-1934032,41-1275875,1
54-1934032,52-2166327,2
54-1934032,57-0952531,2
54-1934032,76-0149778,1
54-1934032,81-0393444,2
55-0307050,52-1799853,1
57-0952531,52-2166327,1
57-0952531,54-1672138,1
57-0952531,54-1934032,2
58-1247027,94-3170425,1
65-0415977,95-3298239,1
73-0296927,73-0667344,1
73-0667344,20-4707442,1
73-0667344,73-0296927,1
75-3148958,13-6006960,1
75-3148958,52-1527294,5
76-0149778,26-2731617,3
76-0149778,54-1934032,1
81-0393444,13-6006960,1
81-0393444,36-7244615,1
81-0393444,52-1351785,1
81-0393444,52-2166327,1
81-0393444,54-1934032,2
81-0393444,94-2528433,1
81-0393444,95-3298239,1
94-2528433,27-2244700,1
94-2528433,81-0393444,1
94-2763845,54-1429009,1
94-3170425,58-1247027,1
94-6080099,52-2166327,1
95-3298239,13-3554791,1
95-3298239,23-7432162,2
95-3298239,52-1351785,1
95-3298239,52-1527294,1
95-3298239,65-0415977,1
95-3298239,81-0393444,1
